ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
458989,Female,1.0,36,1.0,2.0,0.0,2,1.0,Cat_6,A
458994,Male,1.0,37,1.0,5.0,8.0,0,4.0,Cat_6,B
458996,Female,1.0,69,0.0,,0.0,2,1.0,Cat_6,A
459000,Male,1.0,59,0.0,4.0,11.0,1,2.0,Cat_6,A
459001,Female,0.0,19,0.0,8.0,,2,4.0,Cat_6,D
459003,Male,1.0,47,1.0,1.0,0.0,1,5.0,Cat_4,C
459005,Male,1.0,61,1.0,1.0,5.0,2,3.0,Cat_6,B
459008,Female,1.0,47,1.0,0.0,1.0,0,3.0,Cat_6,C
459013,Male,1.0,50,1.0,0.0,2.0,0,4.0,Cat_6,C
459014,Male,0.0,19,0.0,5.0,0.0,2,4.0,Cat_6,D
459015,Male,0.0,22,0.0,5.0,0.0,2,3.0,Cat_6,D
459016,Female,0.0,22,0.0,5.0,0.0,2,6.0,Cat_6,D
459024,Male,1.0,50,1.0,0.0,1.0,0,5.0,Cat_6,C
459026,Male,0.0,27,0.0,5.0,8.0,2,3.0,Cat_3,D
459032,Male,0.0,18,0.0,1.0,0.0,2,3.0,Cat_6,D
459033,Female,1.0,61,1.0,0.0,0.0,2,1.0,Cat_6,B
459036,Female,1.0,20,1.0,7.0,1.0,0,3.0,Cat_3,D
459039,Male,1.0,45,1.0,0.0,1.0,0,2.0,Cat_6,C
459041,Male,1.0,55,1.0,0.0,8.0,2,1.0,Cat_6,B
459045,Female,1.0,88,1.0,7.0,1.0,0,4.0,Cat_6,C
459056,Male,1.0,63,0.0,4.0,,1,3.0,Cat_6,A
459057,Male,1.0,69,0.0,7.0,,1,,Cat_6,A
459058,Male,0.0,42,1.0,0.0,0.0,2,4.0,Cat_3,A
459059,Male,1.0,79,0.0,4.0,,1,2.0,Cat_6,A
459061,Female,1.0,35,1.0,5.0,9.0,1,3.0,Cat_6,B
459064,Male,1.0,27,0.0,4.0,5.0,1,4.0,Cat_6,D
459065,Male,1.0,52,1.0,2.0,,2,2.0,Cat_6,A
459074,Female,0.0,29,1.0,5.0,0.0,2,4.0,Cat_4,D
459077,Female,1.0,79,0.0,7.0,1.0,1,2.0,Cat_6,A
459079,Male,1.0,87,1.0,7.0,,1,2.0,Cat_6,C
459080,Male,1.0,89,0.0,7.0,1.0,2,2.0,Cat_6,A
459083,Male,1.0,63,1.0,0.0,9.0,0,3.0,,C
459090,Male,0.0,31,0.0,0.0,1.0,2,2.0,Cat_6,D
459091,Male,1.0,72,1.0,0.0,1.0,0,6.0,Cat_1,C
459093,Female,1.0,41,1.0,1.0,9.0,0,2.0,,C
459100,Female,0.0,61,1.0,0.0,11.0,2,1.0,Cat_6,B
459106,Male,1.0,62,1.0,0.0,0.0,2,2.0,Cat_6,B
459114,Male,1.0,56,1.0,0.0,1.0,0,2.0,Cat_6,C
459116,Male,1.0,60,1.0,0.0,2.0,0,5.0,Cat_6,C
459117,Male,1.0,68,1.0,0.0,0.0,1,2.0,Cat_6,C
459118,Male,0.0,19,0.0,5.0,,2,8.0,Cat_6,D
459119,Male,1.0,57,1.0,4.0,8.0,1,3.0,Cat_6,C
459120,Male,0.0,19,0.0,5.0,5.0,2,5.0,Cat_2,D
459121,Female,1.0,51,1.0,0.0,3.0,0,6.0,Cat_6,C
459123,Female,1.0,86,0.0,0.0,1.0,1,2.0,Cat_6,C
459130,Female,1.0,74,0.0,7.0,1.0,1,2.0,Cat_6,A
459132,Male,0.0,23,0.0,3.0,6.0,2,2.0,Cat_6,D
459136,Male,1.0,47,1.0,0.0,0.0,0,2.0,Cat_6,C
459140,Female,0.0,19,0.0,5.0,7.0,2,6.0,Cat_6,D
459143,Male,1.0,50,0.0,0.0,0.0,1,4.0,Cat_6,A
459144,Male,1.0,80,1.0,7.0,,1,2.0,Cat_6,C
459145,Male,1.0,78,0.0,7.0,,2,1.0,Cat_2,A
459150,Female,0.0,48,1.0,1.0,0.0,2,1.0,Cat_6,A
459160,Male,1.0,70,1.0,1.0,1.0,0,2.0,Cat_6,C
459161,Male,1.0,50,1.0,4.0,3.0,1,5.0,Cat_6,C
459162,Female,1.0,83,1.0,7.0,0.0,1,2.0,Cat_6,C
459163,Male,0.0,35,1.0,3.0,0.0,2,1.0,Cat_6,A
459167,Female,0.0,36,1.0,0.0,0.0,2,2.0,Cat_5,A
459170,Female,0.0,35,1.0,0.0,1.0,2,1.0,Cat_6,A
459171,Male,1.0,35,1.0,0.0,0.0,0,2.0,Cat_6,C
459172,Male,0.0,18,0.0,5.0,3.0,2,3.0,Cat_2,D
459175,Female,1.0,73,1.0,0.0,1.0,0,2.0,Cat_6,C
459181,Male,1.0,62,0.0,0.0,1.0,1,3.0,Cat_6,C
459182,Female,1.0,46,1.0,0.0,1.0,0,2.0,Cat_6,C
459184,Male,1.0,43,1.0,3.0,0.0,2,4.0,Cat_4,A
459185,Female,0.0,32,1.0,3.0,7.0,2,1.0,Cat_6,D
459193,Male,0.0,39,1.0,0.0,0.0,2,1.0,Cat_6,A
459194,Female,1.0,89,1.0,7.0,0.0,1,2.0,Cat_6,C
459196,Female,0.0,18,0.0,5.0,0.0,2,3.0,Cat_4,D
459208,Female,1.0,57,1.0,0.0,0.0,1,2.0,Cat_3,C
459209,Female,0.0,18,0.0,3.0,0.0,2,4.0,Cat_6,D
459210,Female,1.0,71,1.0,0.0,1.0,1,2.0,Cat_6,C
459212,Female,1.0,69,1.0,0.0,0.0,0,2.0,Cat_6,C
459213,Female,0.0,42,1.0,5.0,0.0,2,4.0,Cat_6,D
459216,Female,0.0,36,1.0,0.0,0.0,2,2.0,Cat_6,A
459220,Female,1.0,80,1.0,7.0,1.0,1,2.0,Cat_6,C
459221,Male,1.0,69,0.0,3.0,,2,1.0,Cat_6,A
459222,Female,1.0,67,1.0,0.0,0.0,0,3.0,Cat_6,C
459223,Female,1.0,47,1.0,1.0,1.0,0,4.0,Cat_6,C
459224,Female,1.0,49,1.0,0.0,0.0,0,2.0,Cat_6,C
459227,Female,1.0,32,0.0,2.0,9.0,2,4.0,Cat_6,A
459229,Female,1.0,65,1.0,7.0,1.0,0,4.0,Cat_6,B
459236,Female,1.0,78,0.0,7.0,0.0,1,2.0,Cat_6,A
459237,Male,0.0,33,1.0,0.0,1.0,2,6.0,Cat_6,C
459244,Male,1.0,48,1.0,0.0,1.0,2,1.0,Cat_6,B
459247,Male,1.0,58,1.0,4.0,1.0,0,5.0,Cat_6,B
459258,Female,1.0,83,1.0,7.0,1.0,1,,Cat_6,C
459263,Female,0.0,30,0.0,5.0,9.0,2,4.0,Cat_6,D
459264,Female,0.0,35,1.0,0.0,0.0,2,2.0,Cat_6,A
459266,Male,0.0,32,1.0,5.0,6.0,2,5.0,Cat_6,D
459270,Male,1.0,69,1.0,6.0,1.0,1,2.0,Cat_6,C
459284,Female,1.0,71,1.0,7.0,1.0,1,2.0,Cat_6,C
459287,Male,0.0,43,1.0,7.0,0.0,2,1.0,Cat_4,D
459288,Male,1.0,37,1.0,0.0,0.0,2,2.0,Cat_6,B
459289,Male,0.0,42,1.0,1.0,0.0,2,1.0,Cat_6,A
459290,Female,1.0,70,1.0,1.0,1.0,0,2.0,Cat_6,C
459292,Male,0.0,46,1.0,0.0,0.0,2,2.0,Cat_6,A
459293,Male,0.0,21,0.0,5.0,,2,,Cat_1,D
459296,Male,1.0,70,1.0,0.0,0.0,0,2.0,Cat_6,C
459300,Female,1.0,61,1.0,0.0,1.0,2,,Cat_6,B
459307,Male,1.0,60,1.0,3.0,1.0,2,1.0,Cat_6,A
459310,Male,0.0,37,1.0,3.0,0.0,2,2.0,Cat_2,A
459316,Male,1.0,30,1.0,5.0,1.0,2,2.0,Cat_6,D
459318,Female,0.0,32,1.0,2.0,1.0,2,3.0,Cat_6,D
459320,Male,1.0,26,1.0,4.0,0.0,2,3.0,Cat_6,D
459322,Male,0.0,42,1.0,8.0,0.0,2,1.0,Cat_6,D
459323,Female,0.0,18,0.0,1.0,,2,,Cat_6,D
